trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",30,0,-183.7561522239131,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-229.5207983039864,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 3}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",25,0,-186.42684422049274,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-68.98955746868398,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-77.99289946913801,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-81.04728414577846,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,0,-151.96213000376054,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-72.55840294132065,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-79.33977178953904,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-94.43417011077497,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-184.45505173356187,"{0: 7, 1: 5, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",20,0,-57.500293342782626,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-85.6270532076974,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-192.36885211943132,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",30,0,-120.89813775545073,"{0: 18, 1: 7, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,0,-215.81932976317495,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-116.20517117611509,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",25,0,-117.07589538807784,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",25,0,-109.27721563281732,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,0,-114.69445946333701,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",25,0,-120.31068767422136,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",1
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",30,17,-38.20847571417764,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",25,0,-170.77996994227993,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",20,12,-42.21008475178167,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",30,0,-172.09557587805884,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",20,0,-90.0978114943911,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",20,0,-61.85739855992342,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",25,16,-65.25641050264261,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 1}",1
