trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-235.83108210364378,"{0: 14, 1: 2, 2: 10, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-78.93433562486358,"{0: 18, 1: 7, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-60.173363932063886,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-117.6188617184395,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-119.81850351548243,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-133.53815576429244,"{0: 11, 1: 5, 2: 0, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-62.04733350694531,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-42.26112376659726,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-107.39666463711883,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,9,-83.08070256024793,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-26.085582253033337,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-8.574723058484103,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-112.2472346540495,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-147.6275821012619,"{0: 26, 1: 1, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-76.58970207665728,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,18,-4.532656238409539,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,10,5.038890977487023,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,16,7.016258786344272,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-21.346410582029414,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,18.906811874540676,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,11,12.853573005263133,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,0,11.616747066075163,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,15.516542263220263,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-45.089331492631466,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-12.260958535078588,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-68.3939538818472,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-75.12373769254394,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,0,-36.74564456275466,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,13.328882076081252,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-107.44602324824056,"{0: 19, 1: 3, 2: 0, 3: 0, 4: 3}",0
