trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 1.0}",25,0,-134.80883378786532,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
2,False,"{'a': 0.02, 'e': 0.9801986733067553}",20,0,-182.39494058944192,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.02, 'e': 0.9607894391523232}",20,0,-106.22146639842083,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
4,False,"{'a': 0.02, 'e': 0.9417645335842487}",25,0,-59.512082037821074,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
5,False,"{'a': 0.02, 'e': 0.9231163463866358}",25,0,-82.5049641148116,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.02, 'e': 0.9048374180359595}",25,0,-83.34597806238784,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
7,False,"{'a': 0.02, 'e': 0.8869204367171575}",30,0,-130.09666405708208,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.02, 'e': 0.8693582353988059}",20,0,-85.46426908228689,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.02, 'e': 0.8521437889662113}",20,0,-90.68723695518368,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.02, 'e': 0.835270211411272}",20,0,-106.0621766158392,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.02, 'e': 0.8187307530779818}",20,0,-76.25471114120671,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.02, 'e': 0.8025187979624785}",25,13,0.6114079638319616,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.02, 'e': 0.7866278610665535}",20,0,-83.41005762585489,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.02, 'e': 0.7710515858035663}",25,0,-203.63050258139828,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
15,False,"{'a': 0.02, 'e': 0.7557837414557255}",30,20,-10.32311008567948,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.02, 'e': 0.7408182206817179}",20,0,-52.832074026623566,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.02, 'e': 0.7261490370736909}",20,0,-53.326903960181085,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.02, 'e': 0.7117703227626097}",25,2,-12.548996008379028,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.02, 'e': 0.697676326071031}",25,0,-91.61085016893213,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
20,False,"{'a': 0.02, 'e': 0.6838614092123558}",25,0,-87.19404202769623,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
21,False,"{'a': 0.02, 'e': 0.6703200460356393}",25,0,-147.44665656207403,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
22,False,"{'a': 0.02, 'e': 0.6570468198150567}",25,11,-12.223722129840539,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
23,False,"{'a': 0.02, 'e': 0.6440364210831414}",25,0,-122.15181986866757,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
24,False,"{'a': 0.02, 'e': 0.631283645506926}",25,10,1.3052818930247216,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.02, 'e': 0.6187833918061408}",20,0,-26.48351486738536,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
26,False,"{'a': 0.02, 'e': 0.6065306597126334}",30,0,5.376930728372713,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.02, 'e': 0.5945205479701944}",20,0,-98.22742543551605,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
28,False,"{'a': 0.02, 'e': 0.5827482523739896}",25,0,-106.45145001687494,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 0.02, 'e': 0.5712090638488149}",20,0,-97.10684939705968,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
30,False,"{'a': 0.02, 'e': 0.559898366565402}",30,0,-119.99072925117827,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
31,False,"{'a': 0.02, 'e': 0.5488116360940264}",25,0,-116.05254487210107,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
32,False,"{'a': 0.02, 'e': 0.5379444375946745}",20,0,-111.41389680904601,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",1
33,False,"{'a': 0.02, 'e': 0.5272924240430485}",20,0,-102.68966850917386,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
34,False,"{'a': 0.02, 'e': 0.5168513344916992}",25,16,-19.793462378649984,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
35,False,"{'a': 0.02, 'e': 0.5066169923655895}",30,0,-19.230295078845533,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
36,False,"{'a': 0.02, 'e': 0.49658530379140947}",25,0,-93.68058122696067,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
37,False,"{'a': 0.02, 'e': 0.4867522559599717}",20,5,-17.878006706878747,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
38,False,"{'a': 0.02, 'e': 0.4771139155210344}",25,0,-27.675999100408827,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
39,False,"{'a': 0.02, 'e': 0.46766642700990924}",25,13,-30.21242404991901,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
40,False,"{'a': 0.02, 'e': 0.4584060113052235}",20,0,-25.71978107481176,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
41,False,"{'a': 0.02, 'e': 0.44932896411722156}",20,1,-39.994699829426025,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.02, 'e': 0.44043165450599925}",20,0,-78.82417143842513,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
43,False,"{'a': 0.02, 'e': 0.43171052342907973}",25,11,0.6859797860253254,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
