trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.49258670035425,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.42931169594422,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.78846854459651,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.92088204918224,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.15135364686427,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.73770566952035,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.5926431381238,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.3131952834589,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-195.84252502990395,"{0: 19, 1: 7, 2: 6, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.09837765870778,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.36747903284663,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-184.28971774279412,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.06177188039368,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.6673231644163,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,2,-309.54471658193944,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 5}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.88522793576784,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.4931027781361,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.90903994511154,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.11512084212418,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.90773655378227,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-163.70308356307837,"{0: 23, 1: 2, 2: 4, 3: 5, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-81.68275306716124,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-148.97443191532432,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,10,-132.26410801178233,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 3}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.23348424007987,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-41.52968273686011,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-194.5891722415767,"{0: 15, 1: 6, 2: 6, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.0887629335356,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.34175092040716,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,1,-61.082420221243964,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 0}",1
